Name,Place_ID,Decoded_Lat,Decoded_Lng,Scraped_Lat,Scraped_Lng,Diff_Meters
GT Medical Head Office,ChIJPTLtqBLQwxURoGqe4fMLiFI,21.563413001877297,39.16498199690398,21.5633574,39.1651779,21.2
Alhalees for Medical Equipment Ltd شركة الهليس للمعدات الطبية,ChIJI8qFxNDRwxUR1jX_DFiJ2Nk,21.538921282857412,39.20455799535733,21.5386793,39.20441,31.0
SPAMA,ChIJNdAcjtTPwxURadlG56U-ZDE,21.531906445008616,39.19401082028464,21.5291011,39.185147,968.5
Sahar Pharmacy Warehouse مستودع صيدلية صحار,ChIJIxSHfgDPwxURKa1qQExiRwg,21.496064157467526,39.193542046072984,21.5291545,39.1610863,4981.1
SEPHORA Jeddah Park,ChIJ3RAOQSnRwxURSknXlWvm6vI,21.60783072045084,39.200071966462154,21.556435,39.185866,5900.7
Natural soap,ChIJJX_g8izRwxURygf5WYWNh68,21.61113081345838,39.2025529451836,21.5610373,39.1865383,5811.1
ريتوالز,ChIJzXTy8x3RwxURBu7oNgpO2Eo,21.589025144146365,39.196337583472506,21.5572018,39.1851864,3721.7
ذي بودي شوب,ChIJYYpV20fQwxURbRmloZ8SzXs,21.559951824373417,39.18493872015186,21.5598963,39.1848918,7.9
لابوتيه La Beaute,ChIJAYR87bXRwxURD2vWzwg-fIk,21.554840290931295,39.20000263695001,21.556932,39.185188,1549.7
كيو&ايه Q&A,ChIJH_g1DKHRwxURXKTML9SjATY,21.566770256122595,39.213697070674804,21.555994,39.18401,3295.6
